,Date,nzd_direction,nzd_strength,nzd_trend,tec_direction,tec_strength,tec_trend,lastday_direction,lastday_strength,lastday_trend,vix,weekday,a50_direction,a50_strength,a50_trend
209,2018-01-09,0,0,0,1,0,1,0,0,0,0,1,1,2,2
210,2018-01-10,-1,1,2,0,0,0,1,2,2,0,2,1,2,3
211,2018-01-11,0,0,0,0,0,0,1,2,3,0,3,0,1,0
212,2018-01-12,0,0,0,0,0,0,0,1,0,0,4,1,1,1
213,2018-01-15,1,1,2,1,1,2,1,1,1,0,0,1,2,4
214,2018-01-16,0,0,0,0,0,0,1,2,4,0,1,1,1,2
215,2018-01-17,1,1,1,-1,2,1,1,1,2,0,2,0,3,0
216,2018-01-18,1,0,1,0,1,0,0,3,0,0,3,0,1,0
217,2018-01-19,0,0,0,1,0,1,0,1,0,0,4,1,1,2
218,2018-01-22,0,0,0,0,0,0,1,1,2,0,0,0,1,0
219,2018-01-23,-1,0,1,1,1,2,0,1,0,0,1,1,2,3
220,2018-01-24,1,1,1,1,1,2,1,2,3,0,2,0,1,0
221,2018-01-25,0,0,0,-1,2,2,0,1,0,0,3,-1,3,5
222,2018-01-26,1,2,3,-1,1,2,-1,3,5,0,4,1,2,3
223,2018-01-29,1,1,2,1,1,1,1,2,3,0,0,-1,5,5
224,2018-01-30,0,0,0,0,0,0,-1,5,5,0,1,-1,2,2
225,2018-01-31,1,1,1,0,1,0,-1,2,2,0,2,1,3,5
226,2018-02-01,1,0,1,0,1,0,1,3,5,0,3,-1,1,1
227,2018-02-02,0,0,0,1,1,2,-1,1,1,0,4,0,2,0
228,2018-02-05,0,0,0,-1,2,2,0,2,0,1,0,1,4,5
229,2018-02-06,-1,1,2,0,5,0,1,4,5,3,1,-1,2,2
230,2018-02-07,-1,1,2,1,5,5,-1,2,2,3,2,-1,5,5
231,2018-02-08,0,0,0,1,2,1,-1,5,5,2,3,-1,4,5
232,2018-02-09,1,2,3,-1,5,5,-1,4,5,3,4,-1,5,5
233,2018-02-12,-1,1,1,-1,5,3,-1,5,5,3,0,1,2,2
234,2018-02-13,0,1,0,1,2,3,1,2,2,2,1,1,4,5
235,2018-02-14,1,0,1,1,2,3,1,4,5,2,2,0,1,0
236,2018-02-15,0,0,0,1,4,5,0,1,0,1,3,1,2,3
237,2018-02-16,1,1,1,1,2,1,1,2,3,1,4,1,0,1
238,2018-02-19,1,0,1,0,1,0,1,0,1,1,0,-1,0,1
239,2018-02-20,0,0,0,-1,1,1,-1,0,1,1,1,-1,2,3
240,2018-02-21,0,0,0,1,2,3,-1,2,3,1,2,1,2,3
241,2018-02-22,1,0,1,1,2,1,1,2,3,1,3,0,1,0
242,2018-02-23,0,0,0,0,1,0,0,1,0,1,4,0,1,0
243,2018-02-26,-1,1,2,1,2,1,0,1,0,1,0,-1,2,1
244,2018-02-27,0,0,0,1,1,1,-1,2,1,1,1,-1,5,5
245,2018-02-28,0,0,0,-1,2,2,-1,5,5,1,2,-1,2,4
246,2018-03-01,0,0,0,0,2,0,-1,2,4,1,3,1,3,5
247,2018-03-02,0,0,0,-1,4,4,1,3,5,2,4,1,1,1
248,2018-03-05,-1,1,1,1,3,3,1,1,1,1,0,-1,2,1
249,2018-03-06,0,0,0,1,3,3,-1,2,1,1,1,-1,3,2
250,2018-03-07,0,0,0,0,1,0,-1,3,2,1,2,1,2,2
251,2018-03-08,1,0,1,1,1,1,1,2,2,1,3,1,1,1
252,2018-03-09,0,0,0,0,0,0,1,1,1,1,4,-1,1,1
253,2018-03-12,1,2,2,1,2,2,-1,1,1,0,0,-1,1,2
254,2018-03-13,1,1,1,0,0,0,-1,1,2,0,1,-1,2,1
255,2018-03-14,0,0,0,-1,2,1,-1,2,1,1,2,0,0,0
256,2018-03-15,0,0,0,-1,1,1,0,0,0,1,3,1,2,4
257,2018-03-16,0,0,0,0,1,0,1,2,4,1,4,0,2,0
258,2018-03-19,1,1,2,0,0,0,0,2,0,0,0,0,1,0
259,2018-03-20,0,0,0,-1,3,3,0,1,0,1,1,0,1,0
260,2018-03-21,0,0,0,-1,1,1,0,1,0,1,2,0,2,0
261,2018-03-22,1,0,1,1,1,1,0,2,0,1,3,-1,2,4
262,2018-03-23,0,0,0,-1,2,1,-1,2,4,1,4,-1,2,4
263,2018-03-26,1,1,1,0,2,0,-1,2,4,2,0,-1,3,3
264,2018-03-27,0,0,0,-1,3,1,-1,3,3,2,1,-1,2,3
265,2018-03-28,0,0,0,-1,4,4,-1,2,3,2,2,-1,3,2
266,2018-03-29,0,0,0,-1,2,3,-1,3,2,2,3,1,5,1
267,2018-04-02,0,0,0,1,4,1,1,5,1,1,0,-1,3,2
268,2018-04-03,0,0,0,-1,5,5,-1,3,2,2,1,0,1,0
269,2018-04-04,1,0,1,-1,2,1,0,1,0,1,2,1,1,2
270,2018-04-05,1,1,2,1,4,4,1,1,2,1,3,1,1,1
271,2018-04-06,0,1,0,-1,1,1,1,1,1,1,4,-1,1,1
272,2018-04-09,0,0,0,0,3,0,-1,1,1,1,0,0,1,0
273,2018-04-10,0,0,0,1,2,3,0,1,0,1,1,1,4,4
274,2018-04-11,0,0,0,0,1,0,1,4,4,1,2,1,1,1
275,2018-04-12,0,0,0,1,2,2,1,1,1,1,3,-1,2,4
276,2018-04-13,0,0,0,1,1,1,-1,2,4,1,4,-1,2,3
277,2018-04-16,0,0,0,-1,1,1,-1,2,3,1,0,-1,4,5
278,2018-04-17,0,0,0,0,1,0,-1,4,5,1,1,-1,2,1
279,2018-04-18,0,0,0,1,1,2,-1,2,1,0,2,-1,3,5
280,2018-04-19,1,3,3,0,1,0,-1,3,5,0,3,1,1,3
281,2018-04-20,0,0,0,-1,1,2,1,1,3,1,4,-1,2,2
282,2018-04-23,0,1,0,-1,2,3,-1,2,2,1,0,1,2,4
283,2018-04-24,1,0,1,0,2,0,1,2,4,1,1,1,4,5
284,2018-04-25,0,0,0,-1,5,5,1,4,5,1,2,-1,1,1
285,2018-04-26,0,0,0,0,2,0,-1,1,1,1,3,-1,4,5
286,2018-04-27,0,0,0,1,1,1,-1,4,5,1,4,-1,3,5
287,2018-04-30,0,0,0,-1,3,4,-1,3,5,0,0,1,1,2
288,2018-05-02,0,0,0,-1,2,2,1,1,2,0,2,-1,2,3
289,2018-05-03,0,0,0,-1,1,1,-1,2,3,0,3,0,2,0
290,2018-05-04,0,0,0,0,2,0,0,2,0,1,4,0,1,0
291,2018-05-07,0,0,0,1,4,4,0,1,0,0,0,1,2,1
292,2018-05-08,0,0,0,1,0,1,1,2,1,0,1,1,3,5
293,2018-05-09,0,0,0,0,0,0,1,3,5,0,2,-1,1,1
294,2018-05-10,-1,0,1,0,1,0,-1,1,1,0,3,0,1,0
295,2018-05-11,1,1,1,1,1,2,0,1,0,0,4,-1,1,2
296,2018-05-14,0,0,0,-1,0,1,-1,1,2,0,0,1,1,2
