,Date,US30_des,lastday_des,vix,weekday,A300_des
155,2013-08-30,0xa0,-0xb2,1,4,-0xa2
156,2013-09-02,-0xb0,-0xa2,1,0,0xa2
157,2013-09-03,-0xb0,0xa2,1,1,0xb3
158,2013-09-04,0xb0,0xb3,1,2,-0xa0
159,2013-09-05,0xb1,-0xa0,1,3,-0xb1
160,2013-09-06,0xb0,-0xb1,1,4,0xb2
161,2013-09-09,-0xa2,0xb2,1,0,0xb3
162,2013-09-10,0xb2,0xb3,1,1,0xb3
163,2013-09-11,0xb2,0xb3,1,2,-0xa2
164,2013-09-12,0xb2,-0xa2,1,3,0xb3
165,2013-09-13,-0xb0,0xb3,1,4,-0xb1
166,2013-09-16,0xb1,-0xb1,1,0,-0xb2
167,2013-09-17,0xb2,-0xb2,1,1,-0xb3
168,2013-09-18,0xb0,-0xb3,1,2,0xb0
169,2013-09-23,0xb2,0xb0,0,0,0xb3
170,2013-09-24,-0xb0,0xb3,1,1,-0xb3
171,2013-09-25,-0xb1,-0xb3,1,2,-0xb1
172,2013-09-26,-0xb1,-0xb1,1,3,-0xb3
173,2013-09-27,0xb1,-0xb3,1,4,0xb1
174,2013-09-30,-0xb1,0xb1,1,0,0xa0
175,2013-10-08,-0xb2,0xa0,1,1,0xb3
176,2013-10-09,-0xb3,0xb3,2,2,0xb2
177,2013-10-10,0xa0,0xb2,2,3,-0xb3
178,2013-10-11,0xb3,-0xb3,1,4,0xb3
179,2013-10-14,0xb2,0xb3,1,0,0xa1
180,2013-10-15,0xb1,0xa1,1,1,-0xb0
181,2013-10-16,-0xb2,-0xb0,1,2,-0xb3
182,2013-10-17,0xb3,-0xb3,1,3,-0xb2
183,2013-10-18,0xa1,-0xb2,0,4,0xb1
184,2013-10-21,0xa0,0xb1,0,0,0xb3
185,2013-10-22,-0xb0,0xb3,0,1,-0xb2
186,2013-10-23,0xb1,-0xb2,0,2,-0xb3
187,2013-10-24,-0xb0,-0xb3,0,3,-0xb1
188,2013-10-25,0xb1,-0xb1,0,4,-0xb3
189,2013-10-28,0xb0,-0xb3,0,0,-0xb0
190,2013-10-29,-0xa0,-0xb0,0,1,0xa2
191,2013-10-30,0xb1,0xa2,0,2,0xb3
192,2013-10-31,-0xb1,0xb3,0,3,-0xb2
193,2013-11-01,-0xb1,-0xb2,0,4,0xb1
194,2013-11-04,0xb1,0xb1,0,0,-0xb2
195,2013-11-05,0xb0,-0xb2,0,1,0xb2
196,2013-11-06,-0xa0,0xb2,0,2,-0xb2
197,2013-11-07,0xb2,-0xb2,0,3,-0xb1
198,2013-11-08,-0xb2,-0xb1,0,4,-0xb2
199,2013-11-11,0xb3,-0xb2,0,0,0xb1
200,2013-11-12,0xb0,0xb1,0,1,0xb2
201,2013-11-13,-0xb0,0xb2,0,2,-0xb3
202,2013-11-14,0xb1,-0xb3,0,3,0xb1
203,2013-11-15,0xb1,0xb1,0,4,0xb3
204,2013-11-18,0xb1,0xb3,0,0,0xb3
205,2013-11-19,0xa0,0xb3,0,1,-0xb1
206,2013-11-20,-0xa0,-0xb1,0,2,-0xa1
207,2013-11-21,-0xb1,-0xa1,0,3,-0xa2
208,2013-11-22,0xb1,-0xa2,0,4,-0xb2
209,2013-11-25,0xb0,-0xb2,0,0,0xa2
210,2013-11-26,0xb0,0xa2,0,1,-0xa0
211,2013-11-27,0xb0,-0xa0,0,2,0xb3
212,2013-11-28,0xb0,0xb3,0,3,0xb2
213,2013-11-29,0xb0,0xb2,0,4,-0xa0
214,2013-12-02,-0xa0,-0xa0,0,0,-0xb0
215,2013-12-03,-0xb1,-0xb0,1,1,0xb3
216,2013-12-04,-0xb1,0xb3,1,2,0xb3
217,2013-12-05,-0xa1,0xb3,1,3,-0xb0
218,2013-12-06,-0xb1,-0xb0,1,4,-0xb1
219,2013-12-09,0xb3,-0xb1,0,0,-0xb1
220,2013-12-10,0xb0,-0xb1,0,1,-0xa0
221,2013-12-11,-0xb0,-0xa0,0,2,-0xb3
222,2013-12-12,-0xb2,-0xb3,1,3,0xa0
223,2013-12-13,-0xb1,0xa0,1,4,0xb2
224,2013-12-16,0xa0,0xb2,1,0,-0xb3
225,2013-12-17,0xb2,-0xb3,1,1,-0xb1
226,2013-12-18,-0xa0,-0xb1,1,2,0xa0
227,2013-12-19,0xb3,0xa0,1,3,-0xb3
228,2013-12-20,0xb0,-0xb3,0,4,-0xb3
229,2013-12-23,0xb0,-0xb3,0,0,0xa2
230,2013-12-24,0xb1,0xa2,0,1,-0xa2
231,2013-12-25,0xb1,-0xa2,0,2,0xb1
232,2013-12-26,0xb1,0xb1,0,3,-0xb3
233,2013-12-27,0xb1,-0xb3,0,4,0xb3
234,2013-12-30,-0xb0,0xb3,0,0,-0xb1
235,2013-12-31,0xb0,-0xb1,0,1,0xb3
236,2014-01-02,0xb1,0xb3,0,3,-0xa0
237,2014-01-03,-0xb2,-0xa0,1,4,-0xb2
238,2014-01-06,0xa0,-0xb2,0,0,-0xb3
239,2014-01-07,-0xb0,-0xb3,0,1,0xb2
240,2014-01-08,0xb1,0xb2,0,2,0xa2
241,2014-01-09,-0xb1,0xa2,0,3,-0xb1
242,2014-01-10,-0xa0,-0xb1,0,4,-0xb1
243,2014-01-13,-0xa0,-0xb1,0,0,-0xb1
244,2014-01-14,-0xb3,-0xb1,0,1,0xb2
245,2014-01-15,0xb1,0xb2,0,2,-0xa1
246,2014-01-16,0xb1,-0xa1,0,3,0xa1
247,2014-01-17,-0xb1,0xa1,0,4,-0xb3
248,2014-01-20,0xb0,-0xb3,0,0,-0xb1
249,2014-01-21,0xb0,-0xb1,0,1,0xb2
250,2014-01-22,-0xb0,0xb2,0,2,0xb3
251,2014-01-23,-0xb0,0xb3,0,3,-0xb1
252,2014-01-24,-0xb3,-0xb1,1,4,0xb2
253,2014-01-27,-0xb3,0xb2,1,0,-0xb2
254,2014-01-28,-0xb0,-0xb2,1,1,-0xa1
255,2014-01-29,0xb1,-0xa1,1,2,0xa0
256,2014-01-30,-0xb3,0xa0,1,3,-0xb2
257,2014-02-07,0xb1,-0xb2,1,4,0xb3
258,2014-02-10,0xb2,0xb3,1,0,0xb3
259,2014-02-11,0xb0,0xb3,1,1,0xb2
260,2014-02-12,0xb3,0xb2,1,2,0xb0
261,2014-02-13,-0xa0,0xb0,1,3,-0xb1
262,2014-02-14,0xb1,-0xb1,1,4,0xb2
263,2014-02-17,0xb2,0xb2,0,0,0xa1
264,2014-02-18,0xb2,0xa1,0,1,-0xb3
265,2014-02-19,-0xb0,-0xb3,1,2,0xb3
266,2014-02-20,-0xb1,0xb3,1,3,-0xb3
267,2014-02-21,0xb1,-0xb3,1,4,-0xb2
268,2014-02-24,-0xb0,-0xb2,1,0,-0xb3
269,2014-02-25,0xb1,-0xb3,1,1,-0xb3
270,2014-02-26,-0xa0,-0xb3,1,2,0xb2
271,2014-02-27,0xa0,0xb2,1,3,-0xb2
272,2014-02-28,0xb1,-0xb2,1,4,0xb3
273,2014-03-03,0xb0,0xb3,1,0,0xb2
274,2014-03-04,-0xb2,0xb2,1,1,0xa2
275,2014-03-05,0xb3,0xa2,1,2,-0xb3
276,2014-03-06,-0xb0,-0xb3,1,3,0xb1
277,2014-03-07,0xb1,0xb1,1,4,-0xa2
278,2014-03-10,0xa0,-0xa2,1,0,-0xb3
279,2014-03-11,-0xb0,-0xb3,1,1,0xb2
280,2014-03-12,-0xb1,0xb2,1,2,0xb1
281,2014-03-13,-0xa0,0xb1,1,3,0xb2
282,2014-03-14,-0xb3,0xb2,1,4,-0xb0
283,2014-03-17,-0xb0,-0xb0,1,0,0xb1
284,2014-03-18,0xb3,0xb1,1,1,-0xb1
285,2014-03-19,0xb1,-0xb1,1,2,-0xb1
286,2014-03-20,-0xb1,-0xb1,1,3,-0xb3
287,2014-03-21,0xb1,-0xb3,1,4,0xb3
288,2014-03-24,-0xa1,0xb3,1,0,0xb1
289,2014-03-25,-0xa1,0xb1,1,1,0xa1
290,2014-03-26,0xb1,0xa1,1,2,-0xb1
291,2014-03-27,-0xb1,-0xb1,1,3,-0xb1
