Date,股票代码,名称,Close,High,Low,Open,Volume
2018-10-19,'399300,沪深300,3134.9455,3137.7475,3009.4983,3017.7488,9883968800
2018-10-18,'399300,沪深300,3044.3918,3097.7903,3043.3817,3097.7903,7377196800
2018-10-17,'399300,沪深300,3118.2463,3149.1344,3062.554,3140.6838,7683713800
2018-10-16,'399300,沪深300,3100.9738,3166.0918,3089.3668,3128.5764,6888772100
2018-10-15,'399300,沪深300,3126.4516,3183.1297,3120.2306,3173.8467,6960502300
2018-10-12,'399300,沪深300,3170.7262,3184.122,3094.9657,3123.3715,9861115100
2018-10-11,'399300,沪深300,3124.1139,3209.5202,3099.0402,3179.5408,12094134200
2018-10-10,'399300,沪深300,3281.5978,3315.731,3256.5815,3295.4288,6449282800
2018-10-09,'399300,沪深300,3288.6906,3309.7978,3276.1322,3290.1705,6672327400
2018-10-08,'399300,沪深300,3290.8988,3364.4641,3285.253,3361.5594,9788898900
2018-09-28,'399300,沪深300,3438.8649,3444.9884,3404.6973,3409.9598,8437775600
2018-09-27,'399300,沪深300,3403.5902,3423.71,3394.732,3415.9532,6976524100
2018-09-26,'399300,沪深300,3417.2413,3448.2595,3383.2352,3388.5576,9317334300
2018-09-25,'399300,沪深300,3379.8043,3394.3771,3367.0253,3375.9717,6905469300
2018-09-21,'399300,沪深300,3410.4856,3410.4856,3307.767,3320.6958,10841600500
2018-09-20,'399300,沪深300,3310.1258,3332.3093,3303.073,3314.8758,6456105700
2018-09-19,'399300,沪深300,3312.4823,3335.9913,3258.3097,3261.997,8917066600
2018-09-18,'399300,沪深300,3269.4319,3270.107,3193.6423,3193.6423,7042503500
2018-09-17,'399300,沪深300,3204.9224,3230.7878,3200.5096,3224.9267,5225954700
2018-09-14,'399300,沪深300,3242.0902,3254.1043,3227.9439,3242.8307,6013064000
2018-09-13,'399300,沪深300,3236.5662,3249.593,3191.3975,3239.6852,6729032700
2018-09-12,'399300,沪深300,3202.0248,3225.6014,3194.9785,3216.9911,5462789900
2018-09-11,'399300,沪深300,3224.2116,3245.617,3209.1121,3229.7052,5849130500
2018-09-10,'399300,沪深300,3230.0681,3277.884,3227.8481,3271.3818,6381705100
2018-09-07,'399300,沪深300,3277.6438,3316.6149,3253.725,3273.8906,6394740800
2018-09-06,'399300,沪深300,3262.8808,3311.4973,3253.7552,3286.6645,6230028800
